,property_url,style,street,city,zip_code,beds,Total Baths,sqft,year_built,days_on_mls,list_price,sold_price,last_sold_date,estimated_value,new_construction,lot_sqft,price_per_sqft,latitude,longitude,neighborhoods,stories,hoa_fee,parking_garage,agent_name,nearby_schools
1331,https://www.realtor.com/realestateandhomes-detail/19491-Pauma-Valley-Dr_Porter-Ranch_CA_91326_M17453-56244,SINGLE_FAMILY,19491 Pauma Valley Dr,Porter Ranch,91326,4.0,3.0,2303.0,1978.0,62.0,1225000.0,1225000,2024-08-29,1237000.0,False,9977.0,532.0,34.279084,-118.556738,"Porter Ranch, North Valley",2.0,0.0,2.0,Arto Poladian,Los Angeles Unified School District
1332,https://www.realtor.com/realestateandhomes-detail/4025-Ventura-Canyon-Ave_Sherman-Oaks_CA_91423_M12432-05892,SINGLE_FAMILY,4025 Ventura Canyon Ave,Sherman Oaks,91423,3.0,2.0,1788.0,1940.0,51.0,1750000.0,1927000,2024-08-30,1744123.0,False,8379.0,1078.0,34.143182,-118.429604,"South Valley, Sherman Oaks",1.0,0.0,2.0,Barry Dantagnan,Los Angeles Unified School District
1333,https://www.realtor.com/realestateandhomes-detail/15151-Foothill-Blvd-Unit-1_Sylmar_CA_91342_M22677-99414,CONDOS,15151 Foothill Blvd,Sylmar,91342,3.0,2.5,1602.0,2006.0,28.0,675000.0,685000,2024-08-29,688619.0,False,55696.0,428.0,34.323074,-118.462236,"Sylmar, North Valley",2.0,180.0,2.0,Kristi Davalos,"Los Angeles Unified School District, PUC Lakeview Charter High District, PUC Triumph CHRTR Academy & PUC Triumph CHRTR High District"
1334,https://www.realtor.com/realestateandhomes-detail/5200-El-Rio-Ave_Los-Angeles_CA_90041_M10159-05685,MULTI_FAMILY,5200 El Rio Ave,Los Angeles,90041,2.0,2.0,1600.0,1923.0,66.0,899000.0,898000,2024-08-29,1264000.0,False,4611.0,561.0,34.14158,-118.215836,"Northeast LA, Eagle Rock",1.0,0.0,0.0,Emily Sinclair,"Los Angeles Unified School District, PUC CALS Middle School and Early College High District, Sbe - Celerity Rolas School District, Los Angeles County Office Of Education School District"
1335,https://www.realtor.com/realestateandhomes-detail/4506-W-16th-Pl_Los-Angeles_CA_90019_M17034-56027,MULTI_FAMILY,4506 W 16th Pl,Los Angeles,90019,4.0,4.0,4080.0,1923.0,57.0,1200000.0,1000000,2024-08-29,1171000.0,False,6997.0,245.0,34.045904,-118.335187,"Mid City, Central LA",2.0,0.0,4.0,Wycedra Stokes,Los Angeles Unified School District
1336,https://www.realtor.com/realestateandhomes-detail/23800-Friar-St_Woodland-Hills_CA_91367_M15916-99317,SINGLE_FAMILY,23800 Friar St,Woodland Hills,91367,3.0,1.0,1404.0,1960.0,70.0,750000.0,864000,2024-08-29,808987.0,False,9612.0,615.0,34.185552,-118.643919,"Woodland Hills, South Valley",1.0,0.0,2.0,Suzan Kozman,Los Angeles Unified School District
1337,https://www.realtor.com/realestateandhomes-detail/10707-Camarillo-St-Apt-105_Toluca-Lake_CA_91602_M19752-58067,CONDOS,10707 Camarillo St,Toluca Lake,91602,1.0,1.0,933.0,1965.0,36.0,519999.0,555000,2024-08-29,586000.0,False,33602.0,595.0,34.15817,-118.36397,"Noho Arts District, Mid - Town North Hollywood, North Hollywood",1.0,383.0,1.0,Jennifer Landon,Los Angeles Unified School District
1338,https://www.realtor.com/realestateandhomes-detail/5737-Camellia-Ave-Unit-110_North-Hollywood_CA_91601_M11832-76753,TOWNHOMES,5737 Camellia Ave,North Hollywood,91601,2.0,1.5,1710.0,2009.0,53.0,800000.0,825000,2024-08-29,810193.0,False,15002.0,482.0,34.174945,-118.382583,"Mid - Town North Hollywood, North Hollywood",3.0,330.0,2.0,Stephen Azadian,Los Angeles Unified School District
1339,https://www.realtor.com/realestateandhomes-detail/337-339-N-Spaulding-Ave_Los-Angeles_CA_90036_M99567-13504,MULTI_FAMILY,337 /339 N Spaulding Ave,Los Angeles,90036,8.0,4.0,5148.0,1928.0,59.0,1750000.0,1695000,2024-08-29,1750000.0,False,6419.0,329.0,34.077202,-118.357605,"Fairfax District, Central LA, Beverly Fairfax Historic District",2.0,0.0,4.0,Nima Rasakhoo,Los Angeles Unified School District
1340,https://www.realtor.com/realestateandhomes-detail/8435-Columbus-Ave-Unit-4_North-Hills_CA_91343_M25958-35976,CONDOS,8435 Columbus Ave,North Hills,91343,3.0,2.5,1303.0,1981.0,65.0,599000.0,610000,2024-08-29,593000.0,False,70820.0,468.0,34.223888,-118.466048,"North Hills East, North Valley",2.0,291.0,2.0,Alex Sanchez,Los Angeles Unified School District
